"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\access_db.dart", "Dart", 11, 0, 4, 15
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\accesses.dart", "Dart", -23, 0, 0, -23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\quiz.dart", "Dart", -144, 0, -5, -149
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\access_widgets.dart", "Dart", -1, 0, 0, -1
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\quiz_widgets.dart", "Dart", 163, 0, 6, 169
"Total", "-", 6, 0, 5, 11
