"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\button_widgets.dart", "Dart", 298, 0, 8, 306
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\chat_widgets.dart", "Dart", 300, 1, 10, 311
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\form_widgets.dart", "Dart", 565, 0, 14, 579
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\immutable_widgets.dart", "Dart", 80, 1, 8, 89
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\offer_widgets.dart", "Dart", 722, 0, 14, 736
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\profile_widgets.dart", "Dart", 258, 1, 7, 266
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\quiz_widgets.dart", "Dart", 163, 0, 6, 169
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\rating_widgets.dart", "Dart", 70, 0, 7, 77
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\study_material_widgets.dart", "Dart", 447, 1, 8, 456
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\main.dart", "Dart", 37, 0, 5, 42
"Total", "-", 8263, 17, 485, 8765
