"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\access_db.dart", "Dart", 103, 0, 24, 127
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\study_material.dart", "Dart", 0, 0, -2, -2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\study_materials_db.dart", "Dart", 55, 0, 10, 65
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\access.dart", "Dart", 1, 0, 1, 2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\quiz.dart", "Dart", -4, 0, 0, -4
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\study_material.dart", "Dart", 1, 0, 1, 2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\Materials\accesses.dart", "Dart", 128, 0, 5, 133
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\materials.dart", "Dart", -132, 0, -4, -136
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\study_materials.dart", "Dart", 104, 0, 8, 112
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\access_widgets.dart", "Dart", 118, 0, 5, 123
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\study_material_widgets.dart", "Dart", 316, 0, 7, 323
"Total", "-", 690, 0, 55, 745
